#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=32.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:37.40 aq:25.23 tex:107241 mv:41944 misc:5983 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:37.40 aq:24.90 tex:2692 mv:778 misc:1314 imb:49 pmb:187 smb:3364 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:37.40 aq:29.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:37.40 aq:24.90 tex:1711 mv:464 misc:953 imb:14 pmb:124 smb:3462 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:37.40 aq:23.97 tex:4351 mv:867 misc:1646 imb:55 pmb:260 smb:3285 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:37.40 aq:24.35 tex:4307 mv:1124 misc:1785 imb:98 pmb:251 smb:3251 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:37.40 aq:24.03 tex:6764 mv:1288 misc:2156 imb:96 pmb:372 smb:3132 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:37.40 aq:23.77 tex:3738 mv:799 misc:1439 imb:49 pmb:199 smb:3352 d:- ref:0 ;
in:13 out:13 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:12 out:14 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:37.40 aq:23.98 tex:2750 mv:573 misc:1189 imb:37 pmb:137 smb:3426 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:37.40 aq:24.10 tex:4475 mv:796 misc:1657 imb:48 pmb:246 smb:3306 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:37.40 aq:24.24 tex:2130 mv:438 misc:936 imb:24 pmb:99 smb:3477 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:37.40 aq:24.54 tex:797 mv:144 misc:563 imb:3 pmb:46 smb:3551 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
